CCA3,Country,Capital,Continent
DNK,Denmark,Copenhagen,Europe
DJI,Djibouti,Djibouti,Africa
DMA,Dominica,Roseau,North America
DOM,Dominican Republic,Santo Domingo,North America
COD,DR Congo,Kinshasa,Africa
ECU,Ecuador,Quito,South America
EGY,Egypt,Cairo,Africa
SLV,El Salvador,San Salvador,North America
GNQ,Equatorial Guinea,Malabo,Africa
ERI,Eritrea,Asmara,Africa
EST,Estonia,Tallinn,Europe
SWZ,Eswatini,Mbabane,Africa
ETH,Ethiopia,Addis Ababa,Africa
FLK,Falkland Islands,Stanley,South America
FRO,Faroe Islands,Tórshavn,Europe
FJI,Fiji,Suva,Oceania
FIN,Finland,Helsinki,Europe
FRA,France,Paris,Europe
GUF,French Guiana,Cayenne,South America
PYF,French Polynesia,Papeete,Oceania
GAB,Gabon,Libreville,Africa
GMB,Gambia,Banjul,Africa
GEO,Georgia,Tbilisi,Asia
DEU,Germany,Berlin,Europe
GHA,Ghana,Accra,Africa
GIB,Gibraltar,Gibraltar,Europe
GRC,Greece,Athens,Europe
GRL,Greenland,Nuuk,North America
GRD,Grenada,Saint George's,North America
GLP,Guadeloupe,Basse-Terre,North America
GUM,Guam,Hagåtña,Oceania
GTM,Guatemala,Guatemala City,North America
GGY,Guernsey,Saint Peter Port,Europe
GIN,Guinea,Conakry,Africa
GNB,Guinea-Bissau,Bissau,Africa
GUY,Guyana,Georgetown,South America
HTI,Haiti,Port-au-Prince,North America
HND,Honduras,Tegucigalpa,North America
HKG,Hong Kong,Hong Kong,Asia
HUN,Hungary,Budapest,Europe
ISL,Iceland,Reykjavík,Europe
IND,India,New Delhi,Asia
IDN,Indonesia,Jakarta,Asia
IRN,Iran,Tehran,Asia
IRQ,Iraq,Baghdad,Asia
IRL,Ireland,Dublin,Europe
IMN,Isle of Man,Douglas,Europe
ISR,Israel,Jerusalem,Asia
ITA,Italy,Rome,Europe
CIV,Ivory Coast,Yamoussoukro,Africa
